lap,wear,weather,gap,safety_car,traffic,action,difficulty,reason
1,10,clear,5.0,False,0,1,easy,"R10: low wear, cruising"
8,25,clear,12.0,False,0,1,easy,R10: healthy tyres
15,45,clear,3.0,False,0,1,easy,"R10: moderate wear, large gap → stay"
20,55,clear,2.5,False,0,1,easy,"R10: wear 50-59, below conserve band"
18,62,clear,8.0,False,0,2,easy,"R8: wear in 60-85, gap>=5, clear → conserve"
25,75,clear,7.0,False,0,2,easy,"R8: wear in 60-85, gap>=5, clear → conserve"
12,30,clear,1.5,False,0,3,easy,R9: fresh tyres + close rival → push
18,40,clear,0.8,False,0,3,easy,R9: good tyres + attack position → push
20,88,clear,4.0,False,0,0,easy,"R2: wear>=86, must pit"
26,95,clear,1.0,False,0,0,easy,"R2: wear>=86, critical, pit now"
10,20,rain,5.0,False,0,4,medium,"R1: rain, must swap"
28,50,rain,2.0,False,0,4,medium,"R1: rain, mid-wear, swap"
8,90,rain,5.0,False,0,4,medium,"R1: rain + high wear, swap urgently"
14,88,clear,5.0,False,0,0,medium,"R2: wear>=86, pit"
29,92,clear,1.0,False,0,0,medium,"R2: wear>=86, last lap, pit or DNF"
19,72,rain_soon,4.0,False,0,2,medium,"R5: rain_soon+wear>=70, conserve to merge"
16,80,rain_soon,20.0,False,0,2,medium,"R5: rain_soon+wear>=70, conserve"
5,40,rain_soon,1.0,False,0,1,medium,"R6: rain_soon+wear<70, hold position"
20,60,rain_soon,12.0,False,0,1,medium,"R6: rain_soon+wear<70, stay"
10,38,clear,0.6,False,2,2,medium,"R7: high traffic stalemate, conserve"
15,65,clear,15.0,False,0,2,medium,"R8: clear+60-85+gap>=5, conserve"
24,74,clear,6.0,False,0,2,medium,"R8: clear+60-85+gap>=5, conserve"
9,25,clear,0.3,False,0,3,medium,"R9: good tyres+tight gap, push"
21,45,clear,1.5,False,1,3,medium,"R9: fresh+gap<2+traffic=med, push"
18,50,clear,4.0,False,0,1,medium,"R10: wear at boundary, default stay"
15,62,clear,5.0,True,0,0,hard,R3: SC active + wear>=55 → cheap pit
16,2,clear,15.0,True,0,1,hard,"R4: SC still active, wear<55 (fresh), stay"
17,7,clear,0.8,False,0,3,hard,"R9: SC ended, wear<50, gap(0.8)<2.0, traffic=0 → push"
10,38,clear,0.6,False,2,2,hard,R7: high traffic stalemate → conserve
11,41,clear,0.5,False,2,2,hard,R7: high traffic still → conserve
12,44,clear,0.5,False,0,3,hard,"R9: traffic cleared, fresh tyres, gap<2 → push"
22,70,clear,9.0,False,0,2,hard,"R8: wear in 60-85, gap>=5 → conserve"
23,74,clear,9.5,False,0,2,hard,"R8: still 60-85, gap>=5 → conserve"
24,92,clear,10.0,False,0,0,hard,"R2: wear(92)>=86, mandatory pit regardless of gap."
18,72,rain_soon,6.0,False,0,2,hard,R5: rain_soon + wear>=70 → conserve to merge stop
19,76,rain_soon,6.5,False,0,2,hard,R5: rain_soon + wear>=70 → conserve
20,80,rain,7.0,False,0,4,hard,R1: rain arrived → swap to wets
